ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
153,Data Analyst,53000.0,Yes,Energy and Utilities,Python,5.0,5.0,7.0,7.0,7.0,7.0,Easy,Compensation and Benefits,Male,32,United Kingdom,Bachelors,White or Caucasian
154,Data Analyst,53000.0,Yes,Government and Public Sector,Python,0.0,7.0,7.0,7.0,0.0,7.0,Easy,Work Environment,Male,29,United States,Bachelors,Asian
155,Data Analyst,53000.0,No,Healthcare and Biotechnology,R,7.0,5.0,8.0,6.0,5.0,10.0,Difficult,Job Satisfaction,Female,26,Australia,Masters,White or Caucasian
156,Data Engineer,53000.0,Yes,Technology and Information Technology,Python,0.0,7.0,5.0,0.0,0.0,7.0,Neither easy nor difficult,Work Environment Preferences,Male,37,Canada,Masters,White or Caucasian
157,Data Analyst,53000.0,No,Logistics and Distribution,R,4.0,6.0,5.0,4.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United States,Bachelors,White or Caucasian
158,Data Analyst,20000.0,No,Finance and Banking,SQL,4.0,4.0,5.0,6.0,6.0,0.0,Difficult,Compensation and Benefits,Male,24,Israel,High School,White or Caucasian
159,Manager,137500.0,No,Finance and Banking,SQL,7.0,8.0,8.0,8.0,7.0,8.0,Easy,Compensation and Benefits,Male,52,United States,Bachelors,White or Caucasian
160,Data Analyst,53000.0,Yes,Finance and Banking,Python,6.0,10.0,3.0,5.0,0.0,10.0,Difficult,Work Environment,Male,27,Singapore,Bachelors,Asian
161,Data Analyst,115500.0,No,Healthcare and Biotechnology,None,6.0,6.0,3.0,3.0,3.0,3.0,Neither easy nor difficult,Compensation and Benefits,Female,29,United States,Masters,White or Caucasian
162,None,20000.0,No,Technology and Information Technology,Python,3.0,7.0,6.0,7.0,0.0,0.0,Difficult,Compensation and Benefits,Male,42,Brazil,Associates,White or Caucasian
163,Data Analyst,53000.0,Yes,Telecommunications,R,3.0,5.0,6.0,4.0,3.0,7.0,Difficult,Various,Male,28,United States,Masters,White or Caucasian
164,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,8.0,8.0,8.0,8.0,8.0,9.0,Neither easy nor difficult,Work-Life Balance,Male,44,Costa Rica,Bachelors,Hispanic or Latino
165,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,5.0,5.0,6.0,5.0,6.0,7.0,Neither easy nor difficult,Work Environment Preferences,Male,23,Spain,Bachelors,White or Caucasian
166,Data Analyst,53000.0,No,"Arts, Culture, and Entertainment",R,1.0,2.0,6.0,4.0,2.0,0.0,Easy,Compensation and Benefits,Male,27,United States,Bachelors,Hispanic or Latino
167,Data Analyst,75500.0,No,Construction and Real Estate,Python,3.0,3.0,3.0,2.0,2.0,1.0,Neither easy nor difficult,Work Environment,Male,26,United States,Masters,White or Caucasian
168,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,VBA,3.0,4.0,4.0,4.0,1.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,27,United States,Masters,Hispanic or Latino
169,Data Analyst,75500.0,Yes,Retail and E-commerce,Python,0.0,0.0,7.0,1.0,0.0,9.0,Difficult,Compensation and Benefits,Male,33,Canada,Bachelors,Asian
170,Data Analyst,75500.0,Yes,Aerospace and Defense,Python,8.0,10.0,10.0,10.0,10.0,10.0,Easy,Compensation and Benefits,Male,28,United States,Bachelors,Hispanic or Latino
171,Data Analyst,20000.0,Yes,Technology and Information Technology,R,2.0,8.0,8.0,7.0,6.0,9.0,Neither easy nor difficult,Compensation and Benefits,Male,32,Kenya,Bachelors,Black or African American
172,None,53000.0,Yes,Food and Beverage,Python,2.0,4.0,6.0,1.0,1.0,1.0,Very Difficult,Compensation and Benefits,Male,34,Canada,Associates,Asian
173,Data Analyst,187500.0,No,Technology and Information Technology,Python,10.0,10.0,10.0,8.0,10.0,10.0,Easy,Work-Life Balance,Male,28,United States,Bachelors,Asian
174,Data Scientist,137500.0,Yes,Telecommunications,Python,2.0,4.0,1.0,3.0,1.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,27,India,Bachelors,Asian
175,Data Engineer,53000.0,Yes,Finance and Banking,Python,2.0,4.0,5.0,5.0,4.0,6.0,Difficult,Compensation and Benefits,Male,22,United States,Bachelors,White or Caucasian
176,Data Analyst,75500.0,No,Healthcare and Biotechnology,Python,3.0,3.0,4.0,1.0,2.0,2.0,Neither easy nor difficult,Compensation and Benefits,Male,29,United States,Masters,White or Caucasian
177,Data Analyst,75500.0,No,Healthcare and Biotechnology,Python,8.0,10.0,10.0,8.0,5.0,7.0,Neither easy nor difficult,Work-Life Balance,Female,31,United States,Masters,White or Caucasian
178,Data Analyst,75500.0,No,Technology and Information Technology,Python,4.0,5.0,5.0,5.0,4.0,4.0,Easy,Work Environment Preferences,Male,28,United States,Bachelors,White or Caucasian
179,None,20000.0,No,Healthcare and Biotechnology,Python,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,24,United States,Masters,Asian
180,Data Analyst,95500.0,No,Government and Public Sector,Stata,4.0,5.0,3.0,4.0,2.0,3.0,Easy,Work Environment,Male,34,United States,Masters,White or Caucasian
181,Data Engineer,95500.0,No,Technology and Information Technology,Python,5.0,3.0,5.0,5.0,4.0,5.0,Difficult,Compensation and Benefits,Male,23,United States,Bachelors,White or Caucasian
182,None,53000.0,No,Construction and Real Estate,None,10.0,4.0,10.0,10.0,4.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,32,Belgium,Masters,White or Caucasian
183,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,R,6.0,8.0,6.0,6.0,8.0,10.0,Easy,Work Environment Preferences,Male,29,Argentina,High School,Hispanic or Latino
184,Data Analyst,20000.0,Yes,Education,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Compensation and Benefits,Male,34,Nigeria,Bachelors,Black or African American
185,Data Analyst,75500.0,No,Finance and Banking,Python,7.0,5.0,5.0,7.0,9.0,10.0,Very Easy,Work Environment Preferences,Male,24,United Kingdom,Bachelors,White or Caucasian
186,Analyst,75500.0,No,Technology and Information Technology,Python,0.0,10.0,6.0,0.0,0.0,0.0,Difficult,Compensation and Benefits,Male,30,United States,Bachelors,Asian
187,Engineer,95500.0,No,"Arts, Culture, and Entertainment",Python,5.0,5.0,6.0,4.0,5.0,5.0,Difficult,Compensation and Benefits,Male,24,United States,Masters,Hispanic or Latino
188,Data Analyst,53000.0,Yes,Finance and Insurance,Python,6.0,8.0,10.0,9.0,7.0,9.0,Easy,Compensation and Benefits,Male,27,United States,Bachelors,Prefer not to say
189,Data Analyst,20000.0,No,Finance and Banking,Python,1.0,2.0,4.0,4.0,4.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,21,India,Bachelors,Asian
190,Data Analyst,20000.0,No,Logistics and Distribution,Python,3.0,5.0,9.0,9.0,Unknown,8.0,Very Difficult,Various,Male,31,United Arab Emirates,Masters,Black or African American
191,Data Analyst,20000.0,Yes,Telecommunications,R,5.0,7.0,5.0,5.0,5.0,7.0,Difficult,Compensation and Benefits,Male,41,Egypt,Bachelors,White or Caucasian
192,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,0.0,1.0,1.0,0.0,0.0,2.0,Difficult,Compensation and Benefits,Male,25,India,Bachelors,Asian
193,Data Analyst,20000.0,No,Finance and Banking,None,4.0,7.0,8.0,8.0,8.0,9.0,Neither easy nor difficult,Various,Male,24,Nigeria,Bachelors,Black or African American
194,Data Analyst,20000.0,No,Finance and Banking,Python,6.0,5.0,6.0,5.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Somalia,Masters,African
195,Data Analyst,187500.0,No,Finance and Banking,None,7.0,7.0,7.0,Unknown,5.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,33,United States,Bachelors,White or Caucasian
196,Data Analyst,75500.0,No,Energy and Utilities,None,7.0,4.0,10.0,9.0,7.0,10.0,Difficult,Compensation and Benefits,Male,23,United States,Bachelors,Hispanic or Latino
197,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,6.0,6.0,6.0,6.0,6.0,6.0,Difficult,Work Environment Preferences,Female,33,United Kingdom,Masters,Asian
198,Data Analyst,115500.0,No,Finance and Banking,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United States,Bachelors,White or Caucasian
199,Data Analyst,20000.0,No,Marketing and Advertising,Python,5.0,5.0,5.0,5.0,5.0,5.0,Neither easy nor difficult,Work Environment Preferences,Female,27,Kosovo,Masters,White or Caucasian
200,Data Analyst,20000.0,Yes,Finance and Banking,C/C++,5.0,10.0,10.0,8.0,10.0,10.0,Very Easy,Work-Life Balance,Male,30,United Kingdom,Bachelors,White or Caucasian
201,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,0.0,3.0,Unknown,Unknown,Unknown,6.0,Neither easy nor difficult,Work Environment Preferences,Male,29,Nigeria,Bachelors,Black or African American
202,Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,10.0,2.0,8.0,5.0,0.0,6.0,Easy,Compensation and Benefits,Male,25,India,Masters,Asian
203,Data Analyst,95500.0,No,Telecommunications,None,7.0,7.0,5.0,7.0,7.0,7.0,Easy,Work Environment Preferences,Male,40,United States,High School,Hispanic or Latino
204,Data Analyst,53000.0,No,Government and Public Sector,None,6.0,10.0,8.0,8.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Female,29,Canada,Bachelors,Prefer not to say
205,Data Analyst,53000.0,No,Other,Python,0.0,3.0,3.0,3.0,3.0,Unknown,Difficult,Work Environment Preferences,Male,29,India,Masters,Asian
206,Data Analyst,20000.0,Yes,Education,Python,1.0,2.0,2.0,3.0,3.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,28,Nigeria,Masters,Black or African American
207,Engineer,95500.0,No,Hospitality and Tourism,C#,5.0,2.0,0.0,2.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,34,United Kingdom,Bachelors,White or Caucasian
208,None,20000.0,No,Technology and Information Technology,Python,0.0,4.0,7.0,6.0,7.0,8.0,Easy,Professional Development,Male,24,Belgium,Masters,White or Caucasian
209,Data Analyst,20000.0,Yes,Telecommunications,Python,5.0,8.0,8.0,9.0,7.0,9.0,Very Easy,Compensation and Benefits,Male,26,Iraq,Bachelors,Middle Eastern
210,Data Analyst,137500.0,No,Technology and Information Technology,Python,10.0,5.0,10.0,10.0,6.0,10.0,Difficult,Work-Life Balance,Male,28,United States,Bachelors,Hispanic or Latino
211,None,20000.0,No,Education,R,5.0,4.0,4.0,4.0,5.0,5.0,Difficult,Work-Life Balance,Male,25,Germany,Masters,White or Caucasian
212,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,1.0,4.0,9.0,7.0,8.0,10.0,Easy,Compensation and Benefits,Male,33,Colombia,Bachelors,Hispanic or Latino
213,Data Analyst,75500.0,Yes,Finance and Banking,Python,4.0,4.0,6.0,3.0,4.0,0.0,Neither easy nor difficult,Work Environment Preferences,Male,30,Ireland,Masters,White or Caucasian
214,Data Analyst,20000.0,Yes,Finance and Banking,Python,1.0,1.0,1.0,1.0,1.0,1.0,Very Difficult,Compensation and Benefits,Male,35,India,Bachelors,Asian
215,Data Analyst,20000.0,No,Manufacturing and Industrial,None,5.0,2.0,5.0,5.0,3.0,4.0,Difficult,Compensation and Benefits,Male,25,Romania,Bachelors,White or Caucasian
216,Data Analyst,20000.0,No,Construction and Real Estate,Python,4.0,7.0,9.0,5.0,2.0,8.0,Easy,Compensation and Benefits,Male,23,Spain,Bachelors,White or Caucasian
217,Data Engineer,20000.0,No,Healthcare and Biotechnology,Python,6.0,6.0,6.0,5.0,4.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,24,Mexico,Bachelors,Hispanic or Latino
218,Data Analyst,187500.0,Yes,Education,SQL,8.0,9.0,9.0,7.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,27,United States,Masters,Black or African American
219,Data Analyst,75500.0,Yes,Manufacturing and Industrial,Python,4.0,10.0,10.0,8.0,5.0,6.0,Neither easy nor difficult,Work Environment Preferences,Male,32,United States,Bachelors,Asian
220,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,5.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Work-Life Balance,Male,50,Canada,Bachelors,White or Caucasian
221,Data Architect,75500.0,Yes,Agriculture and Poultry,Python,7.0,7.0,8.0,9.0,10.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,29,United States,High School,White or Caucasian
222,Data Analyst,20000.0,Yes,Telecommunications,R,2.0,8.0,7.0,6.0,5.0,6.0,Neither easy nor difficult,Work-Life Balance,Male,41,Peru,Bachelors,Hispanic or Latino
223,Database Integrity,20000.0,No,Natural Resources and Mining,R,1.0,7.0,7.0,1.0,4.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,23,United States,Associates,White or Caucasian
224,Data Analyst,20000.0,Yes,Finance and Banking,Python,4.0,7.0,8.0,7.0,8.0,8.0,Difficult,Compensation and Benefits,Male,31,Nigeria,Bachelors,Black or African American
225,Data Analyst,20000.0,No,Healthcare and Biotechnology,Python,0.0,10.0,10.0,10.0,10.0,10.0,Difficult,Compensation and Benefits,Male,22,Philippines,Bachelors,Native Hawaiian or Other Pacific Islander
226,Data Analyst,75500.0,No,Finance and Banking,Python,3.0,5.0,5.0,5.0,3.0,3.0,Very Difficult,Compensation and Benefits,Male,29,United States,Masters,Hispanic or Latino
227,Data Scientist,20000.0,Yes,Technology and Information Technology,Python,4.0,4.0,4.0,0.0,0.0,6.0,Difficult,Work Environment,Male,23,Malaysia,Bachelors,Asian
228,None,20000.0,No,Service Industry,None,0.0,0.0,1.0,1.0,0.0,1.0,Neither easy nor difficult,Work Environment Preferences,Female,24,United States,High School,Hispanic or Latino
229,Data Analyst,75500.0,Yes,Manufacturing and Industrial,Python,5.0,9.0,10.0,10.0,5.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,26,United States,Bachelors,Black or African American
230,None,20000.0,Yes,Finance and Banking,Python,4.0,3.0,5.0,2.0,2.0,3.0,Difficult,Work Environment,Male,31,India,Bachelors,Asian
231,Data Analyst,20000.0,Yes,Sports and Recreation,Python,1.0,1.0,1.0,1.0,7.0,9.0,Neither easy nor difficult,Work Environment Preferences,Male,22,Nigeria,Bachelors,Black or African American
232,Data Analyst,75500.0,Yes,Fashion and Apparel,Python,7.0,8.0,10.0,8.0,7.0,5.0,Neither easy nor difficult,Work Environment Preferences,Male,31,Germany,Bachelors,White or Caucasian
233,None,20000.0,Yes,Technology and Information Technology,Python,0.0,4.0,0.0,0.0,4.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,27,United States,Masters,Asian
234,None,20000.0,No,Other,Python,1.0,1.0,2.0,1.0,1.0,1.0,Difficult,Compensation and Benefits,Female,25,United States,Bachelors,Asian
235,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,4.0,10.0,10.0,8.0,8.0,10.0,Easy,Work-Life Balance,Male,30,Colombia,Masters,Hispanic or Latino
236,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,R,0.0,6.0,5.0,6.0,0.0,2.0,Easy,Career Progression,Male,28,United States,Masters,Hispanic or Latino
237,Data Analyst,137500.0,No,Finance and Banking,Python,6.0,6.0,5.0,4.0,2.0,4.0,Easy,Work Environment Preferences,Male,26,United States,Bachelors,White or Caucasian
238,Data Scientist,137500.0,Yes,Retail and E-commerce,Python,6.0,7.0,7.0,10.0,6.0,7.0,Neither easy nor difficult,Work Environment Preferences,Female,32,United States,Masters,White or Caucasian
239,Data Analyst,20000.0,Yes,Marketing and Advertising,SQL,3.0,5.0,6.0,4.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,40,Poland,PhD,White or Caucasian
240,Data Engineer,20000.0,Yes,Manufacturing and Industrial,Python,4.0,7.0,7.0,6.0,8.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,36,Singapore,Associates,Asian
241,Data Analyst,75500.0,Yes,Finance and Banking,Python,6.0,10.0,9.0,9.0,9.0,10.0,Difficult,Compensation and Benefits,Male,35,United States,Bachelors,Hispanic or Latino
242,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,3.0,4.0,4.0,4.0,5.0,5.0,Very Difficult,Work-Life Balance,Male,29,United States,Masters,Asian
243,Data Analyst,53000.0,No,Finance and Banking,Python,6.0,5.0,9.0,9.0,7.0,5.0,Neither easy nor difficult,Job Satisfaction,Female,25,Germany,Masters,Hispanic or Latino
244,Database Developer,53000.0,Yes,Hospitality and Tourism,Python,6.0,8.0,8.0,9.0,6.0,8.0,Difficult,Work Environment Preferences,Male,29,United States,Bachelors,White or Caucasian
245,Data Analyst,95500.0,No,Agriculture,Python,7.0,6.0,7.0,4.0,5.0,8.0,Difficult,Work-Life Balance,Male,26,United States,Bachelors,Black or African American
246,Data Analyst,20000.0,No,Marketing and Advertising,R,1.0,1.0,1.0,1.0,1.0,1.0,Neither easy nor difficult,Work Environment Preferences,Male,34,Ghana,Bachelors,Black or African American
247,Data Analyst,20000.0,Yes,Finance and Banking,Python,5.0,2.0,5.0,4.0,3.0,5.0,Neither easy nor difficult,Work-Life Balance,Male,26,Egypt,Bachelors,White or Caucasian
248,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,3.0,5.0,4.0,3.0,2.0,Difficult,Professional Development,Female,22,India,Bachelors,Asian
249,None,20000.0,Yes,Construction and Real Estate,Python,0.0,2.0,0.0,1.0,1.0,2.0,Very Difficult,Work Environment Preferences,Female,24,Kenya,Bachelors,Black or African American
250,Data Analyst,20000.0,No,Healthcare and Biotechnology,Python,3.0,6.0,6.0,6.0,4.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,26,Costa Rica,Bachelors,Hispanic or Latino
251,Data Architect,20000.0,Yes,Finance and Banking,Python,5.0,6.0,2.0,3.0,3.0,5.0,Very Difficult,Work-Life Balance,Female,34,Portugal,Masters,White or Caucasian
252,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,5.0,4.0,5.0,4.0,2.0,Neither easy nor difficult,Compensation and Benefits,Male,29,India,Bachelors,Asian
253,Data Scientist,20000.0,No,Technology and Information Technology,R,2.0,7.0,7.0,7.0,7.0,7.0,Easy,Compensation and Benefits,Male,21,Nigeria,Bachelors,Black or African American
254,Analyst,20000.0,No,Professional Services,Python,2.0,4.0,5.0,3.0,1.0,1.0,Neither easy nor difficult,Work-Life Balance,Female,35,North Macedonia,Masters,White or Caucasian
255,Data Analyst,53000.0,No,Education,Python,7.0,7.0,8.0,8.0,6.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,26,United States,Bachelors,Black or African American
256,Data Analyst,53000.0,Yes,Logistics and Distribution,Python,2.0,4.0,7.0,10.0,5.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,28,United States,Bachelors,White or Caucasian
257,Manager,53000.0,No,Non-Profit and Social Services,Python,1.0,5.0,5.0,1.0,0.0,3.0,Easy,Compensation and Benefits,Female,33,United States,Bachelors,White or Caucasian
258,Data Analyst,75500.0,Yes,Professional Services,SQL,7.0,6.0,5.0,7.0,4.0,4.0,Easy,Compensation and Benefits,Female,56,United States,Bachelors,White or Caucasian
259,Developer,20000.0,No,Finance and Insurance,Python,3.0,3.0,6.0,5.0,Unknown,4.0,Difficult,Work-Life Balance,Male,23,India,Bachelors,Asian
260,Data Scientist,137500.0,Yes,Healthcare and Biotechnology,Python,4.0,5.0,5.0,5.0,4.0,5.0,Difficult,Compensation and Benefits,Male,28,United States,Masters,White or Caucasian
261,None,20000.0,No,Other,JavaScript,0.0,0.0,0.0,0.0,0.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,21,Egypt,High School,White or Caucasian
262,None,75500.0,No,Non-Profit and Social Services,Python,2.0,2.0,4.0,1.0,2.0,1.0,Neither easy nor difficult,Work-Life Balance,Male,35,United States,Masters,Black or African American
263,Data Analyst,53000.0,No,Healthcare and Biotechnology,Python,7.0,5.0,9.0,9.0,9.0,8.0,Neither easy nor difficult,Work Environment Preferences,Male,29,Ireland,Masters,Asian
264,Data Analyst,95500.0,No,Technology and Information Technology,Python,9.0,10.0,8.0,8.0,7.0,7.0,Neither easy nor difficult,Various,Female,23,United States,Bachelors,Asian
265,Tableau Administrator,53000.0,No,Finance and Banking,Python,3.0,3.0,3.0,0.0,0.0,1.0,Difficult,Work-Life Balance,Male,25,India,Bachelors,Asian
266,Data Engineer,95500.0,Yes,Retail and E-commerce,Python,8.0,7.0,10.0,9.0,10.0,10.0,Easy,Compensation and Benefits,Male,27,United States,Masters,White or Caucasian
267,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,8.0,7.0,5.0,8.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,22,India,Bachelors,Asian
268,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,6.0,3.0,5.0,7.0,5.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,22,India,Bachelors,Asian
269,None,115500.0,No,Other,Java,7.0,7.0,4.0,5.0,5.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,43,United States,Masters,Asian
270,Reporting Admistrator,20000.0,Yes,Technology and Information Technology,Python,3.0,5.0,8.0,4.0,5.0,5.0,Difficult,Compensation and Benefits,Female,32,United States,Bachelors,Asian
271,None,75500.0,Yes,Healthcare and Biotechnology,None,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Difficult,Work-Life Balance,Female,42,United States,Masters,Asian
272,Analyst,75500.0,No,Legal Services,Python,4.0,6.0,2.0,3.0,3.0,2.0,Very Difficult,Work Environment Preferences,Male,31,United States,Bachelors,Hispanic or Latino
273,Data Engineer,20000.0,No,Marketing and Advertising,Python,0.0,10.0,10.0,5.0,0.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United Kingdom,Bachelors,White or Caucasian
274,Data Analyst,53000.0,No,Agriculture,SQL,3.0,5.0,5.0,5.0,3.0,2.0,Neither easy nor difficult,Compensation and Benefits,Female,25,United States,Masters,Asian
275,Data Analyst,115500.0,Yes,Aerospace and Defense,SQL,9.0,9.0,9.0,6.0,9.0,8.0,Difficult,Work-Life Balance,Male,31,United States,Masters,Asian
276,Data Scientist,20000.0,Yes,Education,Python,3.0,3.0,1.0,1.0,1.0,6.0,Difficult,Compensation and Benefits,Male,36,Morocco,Masters,White or Caucasian
277,Data Scientist,53000.0,No,Healthcare and Biotechnology,Python,6.0,8.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Work-Life Balance,Female,35,Bulgaria,Masters,White or Caucasian
278,Data Analyst,75500.0,Yes,Energy and Utilities,R,6.0,10.0,10.0,10.0,9.0,8.0,Easy,Work Environment Preferences,Male,28,United States,Bachelors,White or Caucasian
279,Data Analyst,20000.0,No,Finance and Banking,Python,8.0,8.0,9.0,9.0,8.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,27,Peru,Bachelors,Hispanic or Latino
280,Data Analyst,20000.0,Yes,Sports and Recreation,Python,7.0,4.0,7.0,4.0,8.0,10.0,Easy,Work-Life Balance,Male,25,Costa Rica,Bachelors,Hispanic or Latino
281,Data Analyst,20000.0,No,Retail and E-commerce,Python,6.0,6.0,10.0,8.0,6.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Poland,Bachelors,White or Caucasian
282,Manager,53000.0,No,Sports and Recreation,R,5.0,5.0,5.0,5.0,5.0,5.0,Difficult,Work-Life Balance,Male,22,United States,Masters,White or Caucasian
283,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,None,7.0,8.0,8.0,4.0,6.0,8.0,Neither easy nor difficult,Work Environment,Male,38,Germany,High School,White or Caucasian
284,Data Analyst,20000.0,Yes,Education,Python,0.0,0.0,5.0,0.0,0.0,0.0,Difficult,Work Environment,Male,27,Kenya,Bachelors,Black or African American
285,Data Analyst,95500.0,Yes,Professional Services,None,4.0,4.0,2.0,2.0,2.0,2.0,Easy,Work Environment Preferences,Female,34,Canada,Bachelors,Black or African American
286,Data Analyst,75500.0,Yes,Non-Profit and Social Services,Python,9.0,10.0,10.0,9.0,8.0,10.0,Difficult,Compensation and Benefits,Female,31,United States,Bachelors,White or Caucasian
287,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,4.0,9.0,8.0,8.0,6.0,10.0,Neither easy nor difficult,Compensation and Benefits,Female,33,Canada,Masters,Black or African American
288,None,20000.0,Yes,Technology and Information Technology,Python,2.0,5.0,5.0,5.0,5.0,5.0,Very Difficult,Work Environment Preferences,Male,23,United States,Bachelors,Asian
289,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,None,3.0,10.0,9.0,10.0,5.0,0.0,Neither easy nor difficult,Compensation and Benefits,Female,25,United States,Bachelors,Asian
290,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,4.0,4.0,4.0,5.0,2.0,1.0,Difficult,Compensation and Benefits,Male,29,Iran,Masters,White or Caucasian
291,Engineer,53000.0,Yes,Healthcare and Biotechnology,R,5.0,7.0,9.0,8.0,8.0,8.0,Neither easy nor difficult,Compensation and Benefits,Female,29,United States,Masters,Black or African American
292,Data Analyst,20000.0,Yes,Technology and Information Technology,R,3.0,4.0,4.0,4.0,4.0,2.0,Easy,Compensation and Benefits,Male,31,India,Masters,Asian
293,None,20000.0,No,Construction and Real Estate,R,0.0,5.0,0.0,0.0,0.0,0.0,Very Difficult,Work Environment Preferences,Male,34,South Africa,High School,Black or African American
294,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,3.0,2.0,4.0,3.0,7.0,8.0,Easy,Work-Life Balance,Male,26,Bangladesh,Bachelors,Asian
295,Data Scientist,95500.0,No,Healthcare and Biotechnology,Python,4.0,6.0,5.0,6.0,6.0,4.0,Neither easy nor difficult,Work Environment Preferences,Female,26,United States,Bachelors,White or Caucasian
296,Specialist,53000.0,Yes,Public Safety and Law Enforcement,DAX,3.0,6.0,9.0,6.0,5.0,10.0,Difficult,Professional Development,Male,27,United States,Masters,Black or African American
297,Data Analyst,75500.0,Yes,Logistics and Distribution,Python,8.0,5.0,9.0,6.0,6.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,26,United States,Bachelors,White or Caucasian
298,None,20000.0,Yes,Technology and Information Technology,Python,4.0,5.0,4.0,4.0,3.0,4.0,Very Difficult,Compensation and Benefits,Female,26,United States,Masters,Asian
299,Data Analyst,53000.0,Yes,Finance and Banking,R,2.0,5.0,5.0,5.0,4.0,5.0,Easy,Compensation and Benefits,Male,24,United States,Bachelors,White or Caucasian
300,Data Analyst,95500.0,Yes,Retail and E-commerce,Python,4.0,6.0,3.0,4.0,4.0,2.0,Easy,Compensation and Benefits,Female,28,Ireland,Masters,Asian
301,Data Analyst,115500.0,Yes,Manufacturing and Industrial,R,8.0,8.0,10.0,9.0,7.0,5.0,Easy,Compensation and Benefits,Male,29,United States,Bachelors,White or Caucasian
302,Data Analyst,75500.0,Yes,Finance and Banking,Python,3.0,2.0,1.0,1.0,0.0,2.0,Very Difficult,Compensation and Benefits,Female,26,United States,Masters,Asian
303,Data Analyst,53000.0,Yes,Aerospace and Defense,Python,3.0,5.0,3.0,3.0,1.0,1.0,Neither easy nor difficult,Compensation and Benefits,Male,28,United Kingdom,Bachelors,White or Caucasian
304,Data Analyst,20000.0,No,Finance and Banking,Python,6.0,8.0,7.0,6.0,2.0,4.0,Easy,Job Satisfaction,Male,25,France,Masters,White or Caucasian
305,Data Analyst,75500.0,Yes,Finance and Banking,R,5.0,7.0,7.0,3.0,7.0,9.0,Difficult,Compensation and Benefits,Female,26,United States,Bachelors,Asian
